freq
804
316
229
142
139
129
112
101
93
76
75
73
70
70
67
67
65
64
60
57
55
54
54
53
52
51
50
50
47
47
45
45
45
45
44
43
43
43
42
41
41
40
39
39
39
38
38
37
37
37
36
36
36
35
35
34
34
33
33
33
32
32
32
31
31
31
30
30
30
30
30
29
29
28
28
28
28
28
28
28
28
28
28
28
27
27
27
27
27
27
27
26
26
26
26
26
26
25
25
25
